,total_cons_ann,hh_size,lat_dd_mod,lon_dd_mod,cons_pp
36,4682.4599609375,4,13.8440840301,38.4803250395,1170.614990234375
37,5511.02490234375,2,13.8440840301,38.4803250395,2755.512451171875
38,17696.0,3,14.2623092313,38.5017445074,5898.666666666667
39,2419.51245117188,2,13.8440840301,38.4803250395,1209.75622558594
40,19524.119140625,6,13.8440840301,38.4803250395,3254.0198567708335
41,1834.07019042969,1,13.8440840301,38.4803250395,1834.07019042969
42,8952.0498046875,4,13.8440840301,38.4803250395,2238.012451171875
43,11744.849609375,9,13.8440840301,38.4803250395,1304.9832899305557
44,10627.0498046875,7,13.8440840301,38.4803250395,1518.1499720982142
45,15849.333984375,5,14.0862760222,37.9831865445,3169.866796875
46,29569.111328125,10,14.0862760222,37.9831865445,2956.9111328125
47,18300.140625,7,14.0862760222,37.9831865445,2614.3058035714284
48,15654.5556640625,5,14.0862760222,37.9831865445,3130.9111328125
49,23148.4453125,5,14.0862760222,37.9831865445,4629.6890625
50,,5,14.0862760222,37.9831865445,
51,40956.0,4,14.0775572909,38.3156776092,10239.0
52,20152.0,5,14.0862760222,37.9831865445,4030.4
53,23677.333984375,3,14.0862760222,37.9831865445,7892.444661458333
54,,5,14.0862760222,37.9831865445,
55,16751.111328125,6,14.0862760222,37.9831865445,2791.8518880208335
56,8121.5556640625,2,13.642517176,38.1191822345,4060.77783203125
57,3145.77783203125,1,13.642517176,38.1191822345,3145.77783203125
58,77698.78125,8,13.642517176,38.1191822345,9712.34765625
59,19700.6015625,8,13.642517176,38.1191822345,2462.5751953125
60,17288.564453125,5,13.642517176,38.1191822345,3457.712890625
61,9695.333984375,7,13.642517176,38.1191822345,1385.0477120535713
62,8697.5556640625,6,13.642517176,38.1191822345,1449.5926106770833
63,,8,13.642517176,38.1191822345,
64,12944.9560546875,4,13.642517176,38.1191822345,3236.239013671875
65,78739.7890625,8,13.642517176,38.1191822345,9842.4736328125
66,14755.111328125,5,13.642517176,38.1191822345,2951.022265625
67,7641.2197265625,2,13.642517176,38.1191822345,3820.60986328125
68,9882.0,1,14.1005955542,38.2661417342,9882.0
69,24116.0,1,14.1005955542,38.2661417342,24116.0
70,,3,14.1005955542,38.2661417342,
71,41082.0,6,14.1005955542,38.2661417342,6847.0
72,15748.0,4,14.1005955542,38.2661417342,3937.0
73,23474.0,2,14.1005955542,38.2661417342,11737.0
74,4688.0,1,14.1005955542,38.2661417342,4688.0
75,32176.0,7,14.1005955542,38.2661417342,4596.571428571428
76,16362.0,3,14.1005955542,38.2661417342,5454.0
77,,3,14.1005955542,38.2661417342,
78,,3,14.1005955542,38.2661417342,
79,12177.0,1,14.1005955542,38.2661417342,12177.0
80,13206.0,2,14.1005955542,38.2661417342,6603.0
81,10424.0,1,14.1005955542,38.2661417342,10424.0
82,27344.0,3,14.1005955542,38.2661417342,9114.666666666666
83,13937.4619140625,6,14.2834679193,38.5730157222,2322.9103190104165
84,9505.0546875,2,14.2834679193,38.5730157222,4752.52734375
85,5208.23388671875,7,14.2834679193,38.5730157222,744.0334123883929
86,20877.861328125,10,14.2834679193,38.5730157222,2087.7861328125
87,5650.70263671875,7,14.2834679193,38.5730157222,807.2432338169643
88,2915.39892578125,1,14.2834679193,38.5730157222,2915.39892578125
89,6358.39892578125,1,14.2834679193,38.5730157222,6358.39892578125
90,25889.3984375,6,14.2834679193,38.5730157222,4314.899739583333
91,18416.43359375,8,14.2834679193,38.5730157222,2302.05419921875
